,2003,2004,2005,2006,2007,2008,2009,2010,2011
f1bw,143219917,137876325,126096365,128618633,122577333,120322785,120322785,120322785,120322785
f1cw,604811298,591874753,549692068,546972872,520513628,499961096,499961096,499961096,499961096
f1dw,468921098,466067520,432148948,436733067,440492050,429214609,429214609,429214609,429214609
f1tv,0,0,0,30010172,75792403,3482378,3482378,3482378,3482378
f1uv,0,0,0,1694601,7327001,371783,371783,371783,371783
f1tw,0,0,0,26714490,59298755,3430951,3430951,3430951,3430951
f1uw,0,0,0,1974353,5516745,437600,437600,437600,437600
f1tx,0,0,0,40763046,75578988,12771892,12771892,12771892,12771892
f1ux,0,0,0,2760672,6134824,2393310,2393310,2393310,2393310
f1aq,0,0,0,3920270,3811303,3636089,3636089,3636089,3636089
f1bq,0,0,0,52244,134078,102531,102531,102531,102531
f1dy,0,0,0,159870715,183372851,236563786,236563786,236563786,236563786
f1ey,0,0,0,6108014,6112418,10932485,10932485,10932485,10932485
f1lz,0,0,0,411643343,513059098,482219306,482219306,482219306,482219306
f1mz,0,0,0,63276911,75475857,65786339,65786339,65786339,65786339
f1sm,0,0,0,0,0,800700,800700,800700,800700
f1dn,0,0,0,0,0,86524,86524,86524,86524
f2dc,0,0,0,15218817621,16507477189,13714740286,13714740286,13714740286,13714740286
f2fu,0,0,0,44407161,56071875,76496021,76496021,76496021,76496021
f2gr,0,0,0,1492973322,1558182234,1945702743,1945702743,1945702743,1945702743
f2ch,0,0,0,338763065,475643158,1047951155,1047951155,1047951155,1047951155
f2ts,0,0,0,1251489423,1276685957,1483738496,1483738496,1483738496,1483738496
f2go,0,0,0,11478098,4684212,4264431,4264431,4264431,4264431
f2tr,0,0,0,2090858463,2617605275,4198660479,4198660479,4198660479,4198660479
f2cg,0,0,0,417815424,396654395,1046495751,1046495751,1046495751,1046495751
f2bh,0,0,0,np,2738470043,17316516589,17316516589,17316516589,17316516589
f2ca,0,0,0,223203183,229614272,166261587,166261587,166261587,166261587
f2ab,0,0,0,65180170,48822780,49520508,49520508,49520508,49520508
f2bg,0,0,0,1757541,3896938,3918916,3918916,3918916,3918916
f2da,0,0,0,np,np,5519790335,5519790335,5519790335,5519790335
f2dh,0,0,0,310568996,553576952,803739664,803739664,803739664,803739664
f2ee,0,0,0,4578797216,5339672374,7580883025,7580883025,7580883025,7580883025
f2aa,0,0,0,np,41265248,81402593,81402593,81402593,81402593
f2al,0,0,0,np,np,123191441,123191441,123191441,123191441
f2dm,0,0,0,np,np,1347235,1347235,1347235,1347235
f3vg,0,0,0,14306036550,15575553007,8935057746,8935057746,8935057746,8935057746
f3vh,0,0,0,913999088,1239522717,3122786738,3122786738,3122786738,3122786738
f4be,0,0,0,7366036815,7387117976,7361020256,7361020256,7361020256,7361020256
f4ba,0,0,0,23267738080,24619751835,25560756855,25560756855,25560756855,25560756855
f4bb,0,0,0,1707491262,1998160965,2260551093,2260551093,2260551093,2260551093
f4bc,0,0,0,3018289964,3549290085,3913218654,3913218654,3913218654,3913218654
f4bd,0,0,0,5948217108,6265940025,6837506670,6837506670,6837506670,6837506670
f4bf,0,0,0,9209051,11420772,12821379,12821379,12821379,12821379
f4tq,0,0,0,85718837,36269955,24537932,24537932,24537932,24537932
f4bl,0,0,0,463171839,0,0,0,0,0
f0xx,0,0,0,649721976,649441654,693678354,693678354,693678354,693678354
f6de,0,0,0,2195625724,2689072624,2847754300,2847754300,2847754300,2847754300
f6gi,0,0,0,635825751,587388649,615226312,615226312,615226312,615226312
f6gj,0,0,0,146469138,128264412,134847814,134847814,134847814,134847814
f6el,0,0,0,1829043252,1746329989,1708882534,1708882534,1708882534,1708882534
f6em,0,0,0,233090468,242141479,238914351,238914351,238914351,238914351
f6gp,0,0,0,2691201447,2506045959,2316054895,2316054895,2316054895,2316054895
f6gu,0,0,0,1875313698,2201021362,2516846794,2516846794,2516846794,2516846794
f6dd,0,0,0,760369461,790986,720424,720424,720424,720424
f6eh,0,0,0,0,825095,748392,748392,748392,748392
f6gh,0,0,0,1606957,560058,561677,561677,561677,561677
f6rs,0,0,0,1142958918,1218141170,1151903916,1151903916,1151903916,1151903916
f6rt,0,0,0,482353640,520805507,501668569,501668569,501668569,501668569
f6ru,0,0,0,1737793,2211700,1845703,1845703,1845703,1845703
f6ss,0,0,0,139872004,139071835,120227813,120227813,120227813,120227813
f6st,0,0,0,68961350,66592966,56690159,56690159,56690159,56690159
f6su,0,0,0,66024,81087,65037,65037,65037,65037
f6ps,0,0,0,0,0,0,0,0,0
f6pt,0,0,0,0,0,0,0,0,0
f6pu,0,0,0,0,0,0,0,0,0
f6qr,0,0,0,0,6807,0,0,0,0
f6qw,0,0,0,0,2805,0,0,0,0
f6qs,0,0,0,746093882,870686505,900218551,900218551,900218551,900218551
f6qt,0,0,0,142763541,166067649,181959071,181959071,181959071,181959071
f6qu,0,0,0,1224165,4588497,6626090,6626090,6626090,6626090
f6ev,0,0,0,1989,2357,2314,2314,2314,2314
f6eu,0,0,0,7765597,7341532,7213753,7213753,7213753,7213753
f6cb,0,0,0,12629176,0,0,0,0,0
f6da,0,0,0,13346196,0,0,0,0,0
f6cc,0,0,0,190943,0,0,0,0,0
f6fa,0,0,0,88911640,87594425,109109744,109109744,109109744,109109744
f6fb,0,0,0,91785916,89117509,87711073,87711073,87711073,87711073
f6fc,0,0,0,123524829,111739617,113940422,113940422,113940422,113940422
f6fd,0,0,0,151602870,161451502,192408881,192408881,192408881,192408881
f6fe,0,0,0,244801625,271889675,245178226,245178226,245178226,245178226
f6fl,0,0,0,496202473,536451094,533798521,533798521,533798521,533798521
f7ud,0,0,0,365386661,392166299,547917144,547917144,547917144,547917144
f7ue,0,0,0,np,0,0,0,0,0
f7uf,0,0,0,1169787516,1258665791,1306820974,1306820974,1306820974,1306820974
f7ug,0,0,0,np,0,0,0,0,0
f7xs,0,0,0,17676160,17007449,13275358,13275358,13275358,13275358
f7xt,0,0,0,73654519,52596017,29803215,29803215,29803215,29803215
f7xu,0,0,0,82278505,61428803,55016668,55016668,55016668,55016668
f7xw,0,0,0,0,72503866,53210420,53210420,53210420,53210420
f7xy,0,0,0,0,0,76892987,76892987,76892987,76892987
f7ac,0,0,0,157097020,181497531,167409936,167409936,167409936,167409936
f7ae,0,0,0,44625478,47388766,49935880,49935880,49935880,49935880
f7ag,0,0,0,194284,361558,354549,354549,354549,354549
f7ad,0,0,0,np,0,0,0,0,0
f7af,0,0,0,np,0,0,0,0,0
f7ah,0,0,0,np,0,0,0,0,0
f7ea,0,0,0,1624970,1619203,1574614,1574614,1574614,1574614
f7ec,0,0,0,1610879,1597297,1544061,1544061,1544061,1544061
f7ef,0,0,0,1235327,1282862,1287017,1287017,1287017,1287017
f7ga,0,0,0,1437911975,1604500935,1654940737,1654940737,1654940737,1654940737
f7gb,0,0,0,337006513,379750400,410086578,410086578,410086578,410086578
f7gc,0,0,0,29859841,35005227,36600793,36600793,36600793,36600793
f7db,0,0,0,0,3152600099,3523030131,3523030131,3523030131,3523030131
f7df,0,0,0,7202761528,4625234105,4874936865,4874936865,4874936865,4874936865
f7dg,0,0,0,np,135348,0,0,0,0
f7dl,0,0,0,21729,17759,19488,19488,19488,19488
f7cd,0,0,0,3303673141,4148961955,4643745655,4643745655,4643745655,4643745655
f7ce,0,0,0,103935033,167099994,194705620,194705620,194705620,194705620
f7gz,0,0,0,205500107,187762703,192379845,192379845,192379845,192379845
f7wn,0,0,0,404236854,416560288,436351499,436351499,436351499,436351499
f7wo,0,0,0,494422422,514578164,529484696,529484696,529484696,529484696
f7wm,0,0,0,17747299,20845031,17156131,17156131,17156131,17156131
f7wp,0,0,0,18102918,18779359,17446644,17446644,17446644,17446644
f7uk,0,0,0,4112931,8422173,14156435,14156435,14156435,14156435
f7vo,0,0,0,np,6752,14057,14057,14057,14057
f7td,0,0,0,0,0,3714105,3714105,3714105,3714105
f7wf,0,0,0,2022306016,2410875513,3799532545,3799532545,3799532545,3799532545
f7wg,0,0,0,1164041392,1214121439,991160808,991160808,991160808,991160808
f7wh,0,0,0,2085236966,2264545007,3106241130,3106241130,3106241130,3106241130
f7wq,0,0,0,292410534,255570752,298048301,298048301,298048301,298048301
f7wj,0,0,0,108240421,123422675,138113068,138113068,138113068,138113068
f7wi,0,0,0,27853001,28254486,36927701,36927701,36927701,36927701
f7uh,0,0,0,0,702729923,0,0,0,0
f7vy,0,0,0,0,0,2726251627,2726251627,2726251627,2726251627
f7vz,0,0,0,0,0,1164312239,1164312239,1164312239,1164312239
f8ti,0,0,0,2613450861,3093060615,3490411941,3490411941,3490411941,3490411941
f8tl,0,0,0,306275785,327856856,317251435,317251435,317251435,317251435
f8tk,0,0,0,3710696169,4054738161,4464642460,4464642460,4464642460,4464642460
f8tm,0,0,0,135582766,188748,187124399,187124399,187124399,187124399
f8by,0,0,0,377016330,487352118,458821148,458821148,458821148,458821148
f8cy,0,0,0,55879847,60460554,74998458,74998458,74998458,74998458
f8ut,0,0,0,13095338968,12406672712,12175854800,12175854800,12175854800,12175854800
f8tf,0,0,0,5654622,2831720,2732773,2732773,2732773,2732773
f8fv,0,0,0,np,11440,0,0,0,0
f8tt,0,0,0,np,3813,0,0,0,0
f8uu,0,0,0,np,29612,0,0,0,0
f3va,0,0,0,1552917903,2287376186,2019557660,2019557660,2019557660,2019557660
f3vb,0,0,0,3372070,22294541,4647328,4647328,4647328,4647328
